rank,ps_id,wps_v3,wps_v2,delta,quality,cls,verdict_v3,title,org,theme,innov,feas,impact,demo_ab,team,diff,dataset,mfit
1,SIH26045,7.33,7.2,0.13,7.47,3.35,WORKABLE,"IP-SAKTI Sahayak a multilingual, RAG-based (source-cited) AI assistant for Intellectual Property and regulatory guidance in Ayurveda, across national and international regimes.",Ministry of Ayush,MedTech / BioTech / HealthTech,9.0,7.5,7.5,6.0,5.0,7.5,7.0,8.5
2,SIH26014,7.14,6.77,0.37,7.62,5.0,WORKABLE,An lntegrated GIS-based Digital Public lnfrastructure for Land Governance,Ministry of Rural Development,"Agriculture, FoodTech & Rural Development",9.0,6.0,8.0,7.5,7.0,7.0,6.5,8.0
3,SIH26047,7.03,6.86,0.17,7.42,3.85,WORKABLE,Patient Case-Taking Software,Ministry of Ayush,MedTech / BioTech / HealthTech,9.0,6.0,7.5,7.5,6.0,7.0,5.0,8.5
4,SIH26036,6.92,6.61,0.31,7.05,5.05,WORKABLE,Development of an Online Verification System for Weighing and Measuring Instruments,"Ministry of Consumer Affairs, Food & Public Distribution",Miscellaneous,6.5,7.5,7.0,7.5,7.0,7.0,7.0,8.5
5,SIH26184,6.62,6.12,0.5,7.35,6.1,WORKABLE,"Development of a Predictive Analytics Framework for Cybercrime Complaints to Forecast Likely Cash Withdrawal Locations in Advance, Enabling Generation of Actionable Intelligence for Timely and Proactive Cybercrime Intervention.",Ministry of Home Affairs,Blockchain & Cybersecurity,6.5,7.5,8.5,7.5,7.0,7.0,5.0,5.5
6,SIH26138,6.58,6.33,0.25,6.47,5.05,WORKABLE,Quantum-Inspired Fuel Consumption Prediction and Green Fleet Optimization,Egreen Quanta,Clean & Green Technology,7.5,6.0,5.5,7.5,5.0,7.0,7.0,7.5
7,SIH26011,6.49,5.92,0.57,7.07,6.75,WORKABLE,3D ULPIN Generation and vertical Property Mapping SYstem,Ministry of Rural Development,Smart Automation,9.0,7.0,7.5,4.5,4.5,7.0,6.0,8.0
8,SIH26101,6.46,6.11,0.35,7.2,5.9,WORKABLE,"Develop an AI enabled learning platform that identifies competency gaps, recommends personalized training through integration with the iGOT Karmayogi ecosystem, and capable of generating Quizzes and Multiple choice questions (MCQs) from uploaded learning materials to strengthen capacity building in India's Official Statistical System.",MoSPI,Smart Education,8.0,6.5,7.0,7.5,6.5,5.0,7.0,7.5
9,SIH26046,6.45,6.5,-0.05,6.6,3.55,WORKABLE,"AIIA Clinical Trials Dashboard - a real-time, cloud-based, GCP-compliant Clinical Trial Management System (CTMS) for Ayurveda research, with CDISC/FHIR-interoperable data, role-based KPIs, and integrated ethics, regulatory (CTRI / NDCT Rules 2019) and pharma covigilance tracking.",Ministry of Ayush,MedTech / BioTech / HealthTech,5.5,6.5,7.5,7.5,7.0,5.0,7.0,8.5
10,SIH26137,6.41,6.0,0.41,6.4,6.15,WORKABLE,Quantum-Inspired Intelligent Traffic Route Optimization in Transportation Systems Using Metaheuristic Optimization,Egreen Quanta,Transportation & Logistics,7.5,6.0,5.5,7.0,5.0,7.0,7.0,7.5
11,SIH26019,6.36,5.75,0.61,7.25,7.4,WORKABLE,"National Digital Platform for Research, Policy Innovation, and Evidence-Based Land Governance",Ministry of Rural Development,Smart Automation,6.5,7.5,8.0,7.5,7.0,5.5,6.0,8.0
12,SIH26038,6.35,6.0,0.35,6.88,6.1,WORKABLE,Explainable AI for Diabetic Retinopathy Screening in Rural India,MathWorks,MedTech / BioTech / HealthTech,6.5,7.5,7.5,6.0,6.5,5.0,8.0,8.5
13,SIH26168,6.32,5.96,0.36,6.75,6.05,WORKABLE,AI-ML based Intelligent Dead Reckoning system for seamless navigation,Indian Space Research Organisation(ISRO),Smart Vehicles,6.5,7.5,5.5,7.5,7.0,5.5,8.0,5.5
14,SIH26018,6.29,5.65,0.64,7.18,7.7,WORKABLE,Intelligent Land Record Digitization and Validation System,Ministry of Rural Development,Smart Automation,8.0,6.0,7.5,7.5,6.5,5.5,6.0,8.0
15,SIH26012,6.29,5.57,0.72,7.48,8.2,WORKABLE,AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction System using Drone lmagery,Ministry of Rural Development,Smart Automation,8.0,7.0,7.5,7.5,7.0,5.0,6.0,8.0
16,SIH26017,6.26,5.91,0.35,7.13,5.85,WORKABLE,Predictive Analytics System for Early Detection of Land Acquisition Delays,Ministry of Rural Development,Smart Automation,6.5,7.0,8.0,7.5,7.0,5.0,5.0,8.0
17,SIH26089,6.24,6.04,0.2,6.88,5.05,WORKABLE,Cooperative Gig Services Platform for Household & Community Services,Ministry of Cooperation,"Agriculture, FoodTech & Rural Development",6.5,7.0,7.0,7.5,6.5,5.0,5.0,8.5
18,SIH26128,6.21,6.11,0.1,6.88,4.35,WORKABLE,"Efficient systems for early detection,prevention,and management of livestock diseases and animal health issues",Government Of Maharashtra,MedTech / BioTech / HealthTech,6.5,7.0,7.0,7.5,6.5,5.0,5.0,6.5
19,SIH26111,6.21,5.9,0.31,7.1,5.65,WORKABLE,Smart Al-Enabled Rapid Feed and Silage Quality Testing System for Dairy Farmers,"Ministry of Fisheries, Animal Husbandry & Dairying","Agriculture, FoodTech & Rural Development",8.0,7.0,7.0,6.0,6.5,5.0,5.0,8.5
20,SIH26176,6.21,5.8,0.41,7.3,6.2,WORKABLE,ORCA Marine EcOsystem Reasoning with Collaborative Agents,Indian Space Research Organisation(ISRO),Disaster Management,8.0,7.0,8.0,6.0,6.5,5.0,6.0,5.5
21,SIH26001,6.2,5.56,0.64,7.18,7.85,WORKABLE,AI-Based early warning and landslide Risk Monitoring System in NER,Ministry of Development of North Eastern Region (MDoNER),Disaster Management,8.0,6.0,7.5,7.5,6.5,5.0,6.0,8.5
22,SIH26141,6.18,5.69,0.49,6.1,6.9,WORKABLE,Quantum-Inspired Cyber Threat Detection for Digital Signature Security,Egreen Quanta,Blockchain & Cybersecurity,6.5,6.0,5.5,7.0,5.0,7.0,7.0,7.5
23,SIH26015,6.17,6.0,0.17,6.75,5.0,WORKABLE,Application of Geospatial Techniques for visualization and analysis to interpret Geo-Coded lmages to enhance watershed Development Outcomes.,Ministry of Rural Development,"Agriculture, FoodTech & Rural Development",6.5,7.0,7.5,6.0,6.5,5.0,6.0,8.0
24,SIH26167,6.17,5.85,0.32,6.72,5.85,WORKABLE,SatQuery AI - An Interactive Vision-Language Assistant for Multimodal Remote Sensing Image Analysis through Text Queries,Indian Space Research Organisation(ISRO),Space Technology,8.0,7.0,6.5,4.5,6.0,5.5,7.0,7.5
25,SIH26035,6.17,5.62,0.55,6.85,7.5,WORKABLE,Development of a Software Program/Application for Generation of Test Reports for Non-Automatic Weighing Instruments (NAWI) as per OIML Recommendation R- 76,"Ministry of Consumer Affairs, Food & Public Distribution",Miscellaneous,5.5,7.5,7.5,7.5,7.0,5.0,7.0,8.5
26,SIH26003,6.16,5.85,0.31,6.88,5.8,WORKABLE,AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER),Ministry of Development of North Eastern Region (MDoNER),MedTech / BioTech / HealthTech,6.5,7.0,7.0,7.5,6.5,5.0,5.0,8.5
27,SIH26186,6.11,5.64,0.47,6.9,6.9,WORKABLE,AI-Based Predictive Personnel Stress and Welfare Monitoring System for Uniformed Forces,Ministry of Home Affairs,MedTech / BioTech / HealthTech,5.0,7.5,8.5,7.5,7.0,5.0,7.0,5.5
28,SIH26227,6.1,5.85,0.25,6.48,5.65,WORKABLE,Semantic Retrieval and Multi-Temporal Change Analysis of Satellite lmagery.,Ministry of defence (MoD),Space Technology,6.5,7.5,5.5,6.0,6.5,5.0,7.0,8.5
29,SIH26119,6.08,5.53,0.55,6.58,7.4,WORKABLE,Indigenous GPU-Accelerated Optimization Solver (Sovereign Alternative to Express / CEPLEX),Mangalore Refinery and Petrochemicals Limited (MRPL),Smart Automation,6.5,7.5,6.0,6.0,6.5,5.5,7.0,8.5
30,SIH26041,6.05,5.81,0.24,6.53,5.6,WORKABLE,AR-Based Vocational Training Simulator for Industrial Safety in Jharkhand's Mining & Manufacturing Sector,Governmcnt of Jharkhand,Smart Education,5.5,7.0,6.5,7.5,7.0,5.0,5.5,8.5
31,SIH26002,6.04,5.82,0.22,6.58,5.45,WORKABLE,Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER),Ministry of Development of North Eastern Region (MDoNER),Transportation & Logistics,6.5,7.0,5.5,7.5,6.5,5.0,5.0,8.5
32,SIH26193,6.03,5.78,0.25,6.7,5.5,WORKABLE,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.",AICTE,"Agriculture, FoodTech & Rural Development",5.0,8.0,7.0,7.0,7.5,5.0,6.0,5.5
33,SIH26229,6.02,5.71,0.31,6.63,5.95,WORKABLE,"Kabadiwala Connect – Bringing the Informal Collector into the Formal Recycling
Chain",Ministry of Mines (MoM),Clean & Green Technology,6.5,7.0,5.5,7.5,7.0,5.0,5.0,8.5
34,SIH26198,6.01,5.74,0.27,6.7,5.65,WORKABLE,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.",AICTE,MedTech / BioTech / HealthTech,5.0,8.0,7.0,7.0,7.5,5.0,6.0,5.5
35,SIH26133,6.01,5.63,0.38,6.88,6.3,WORKABLE,"Accessibility and quality of public healthcare services,particularly in rural and underserved areas",Government Of Maharashtra,MedTech / BioTech / HealthTech,6.5,7.0,7.0,7.5,6.5,5.0,5.0,6.5
36,SIH26139,6.0,5.62,0.38,6.55,6.5,WORKABLE,Hybrid Quantum Machine Learning Platform for Early Disease Detection,Egreen Quanta,MedTech / BioTech / HealthTech,7.5,6.0,7.0,6.0,5.0,5.0,7.0,7.5
37,SIH26115,6.0,5.53,0.47,6.58,6.9,WORKABLE,Design and Develop a Smart Mobile Medical-Waste Collection and Segregation System,Autodesk,MedTech / BioTech / HealthTech,5.5,7.0,7.0,7.5,6.5,5.5,5.0,8.5
38,SIH26032,5.99,5.51,0.48,6.58,7.0,HIGH RISK,"Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status.","Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,5.5,7.0,7.0,7.5,6.5,5.5,5.0,8.5
