rank,ps_id,wps,quality,cls,verdict,title,org,theme,innov,feas,impact,demo_ab,team,diff,dataset,demox,mfit,expected,submit_by
1,SIH26045,7.2,7.47,3.35,WORKABLE — Commit but maintain a backup PS,"IP-SAKTI Sahayak a multilingual, RAG-based (source-cited) AI assistant for Intellectual Property and regulatory guidance in Ayurveda, across national and international regimes.",Ministry of Ayush,MedTech / BioTech / HealthTech,9.0,7.5,7.5,6.0,5.0,7.5,7.0,6.0,8.5,167,Submit by 19 Sep (LOW freeze risk)
2,SIH26047,6.86,7.42,3.85,WORKABLE — Commit but maintain a backup PS,Patient Case-Taking Software,Ministry of Ayush,MedTech / BioTech / HealthTech,9.0,6.0,7.5,7.5,6.0,7.0,5.0,7.5,8.5,192,Submit by 19 Sep (LOW freeze risk)
3,SIH26014,6.77,7.62,5.0,WORKABLE — Commit but maintain a backup PS,An lntegrated GIS-based Digital Public lnfrastructure for Land Governance,Ministry of Rural Development,"Agriculture, FoodTech & Rural Development",9.0,6.0,8.0,7.5,7.0,7.0,6.5,7.5,8.0,250,Submit by 18 Sep (MEDIUM freeze risk)
4,SIH26036,6.61,7.05,5.05,WORKABLE — Commit but maintain a backup PS,Development of an Online Verification System for Weighing and Measuring Instruments,"Ministry of Consumer Affairs, Food & Public Distribution",Miscellaneous,6.5,7.5,7.0,7.5,7.0,7.0,7.0,7.5,8.5,252,Submit by 18 Sep (MEDIUM freeze risk)
5,SIH26046,6.5,6.6,3.55,WORKABLE — Commit but maintain a backup PS,"AIIA Clinical Trials Dashboard - a real-time, cloud-based, GCP-compliant Clinical Trial Management System (CTMS) for Ayurveda research, with CDISC/FHIR-interoperable data, role-based KPIs, and integrated ethics, regulatory (CTRI / NDCT Rules 2019) and pharma covigilance tracking.",Ministry of Ayush,MedTech / BioTech / HealthTech,5.5,6.5,7.5,7.5,7.0,5.0,7.0,7.5,8.5,177,Submit by 19 Sep (LOW freeze risk)
6,SIH26138,6.33,6.47,5.05,WORKABLE — Commit but maintain a backup PS,Quantum-Inspired Fuel Consumption Prediction and Green Fleet Optimization,Egreen Quanta,Clean & Green Technology,7.5,6.0,5.5,7.5,5.0,7.0,7.0,7.5,7.5,252,Submit by 18 Sep (MEDIUM freeze risk)
7,SIH26184,6.12,7.35,6.1,WORKABLE — Commit but maintain a backup PS,"Development of a Predictive Analytics Framework for Cybercrime Complaints to Forecast Likely Cash Withdrawal Locations in Advance, Enabling Generation of Actionable Intelligence for Timely and Proactive Cybercrime Intervention.",Ministry of Home Affairs,Blockchain & Cybersecurity,6.5,7.5,8.5,7.5,7.0,7.0,5.0,7.5,5.5,305,Submit by 18 Sep (MEDIUM freeze risk)
8,SIH26101,6.11,7.2,5.9,WORKABLE — Commit but maintain a backup PS,"Develop an AI enabled learning platform that identifies competency gaps, recommends personalized training through integration with the iGOT Karmayogi ecosystem, and capable of generating Quizzes and Multiple choice questions (MCQs) from uploaded learning materials to strengthen capacity building in India's Official Statistical System.",MoSPI,Smart Education,8.0,6.5,7.0,7.5,6.5,5.0,7.0,7.5,7.5,295,Submit by 18 Sep (MEDIUM freeze risk)
9,SIH26128,6.11,6.88,4.35,WORKABLE — Commit but maintain a backup PS,"Efficient systems for early detection,prevention,and management of livestock diseases and animal health issues",Government Of Maharashtra,MedTech / BioTech / HealthTech,6.5,7.0,7.0,7.5,6.5,5.0,5.0,7.5,6.5,217,Submit by 19 Sep (LOW freeze risk)
10,SIH26089,6.04,6.88,5.05,WORKABLE — Commit but maintain a backup PS,Cooperative Gig Services Platform for Household & Community Services,Ministry of Cooperation,"Agriculture, FoodTech & Rural Development",6.5,7.0,7.0,7.5,6.5,5.0,5.0,7.5,8.5,252,Submit by 18 Sep (MEDIUM freeze risk)
11,SIH26015,6.0,6.75,5.0,WORKABLE — Commit but maintain a backup PS,Application of Geospatial Techniques for visualization and analysis to interpret Geo-Coded lmages to enhance watershed Development Outcomes.,Ministry of Rural Development,"Agriculture, FoodTech & Rural Development",6.5,7.0,7.5,6.0,6.5,5.0,6.0,6.0,8.0,250,Submit by 18 Sep (MEDIUM freeze risk)
12,SIH26038,6.0,6.88,6.1,WORKABLE — Commit but maintain a backup PS,Explainable AI for Diabetic Retinopathy Screening in Rural India,MathWorks,MedTech / BioTech / HealthTech,6.5,7.5,7.5,6.0,6.5,5.0,8.0,6.0,8.5,305,Submit by 18 Sep (MEDIUM freeze risk)
13,SIH26137,6.0,6.4,6.15,WORKABLE — Commit but maintain a backup PS,Quantum-Inspired Intelligent Traffic Route Optimization in Transportation Systems Using Metaheuristic Optimization,Egreen Quanta,Transportation & Logistics,7.5,6.0,5.5,7.0,5.0,7.0,7.0,7.0,7.5,307,Submit by 18 Sep (MEDIUM freeze risk)
14,SIH26168,5.96,6.75,6.05,HIGH RISK — Skip or keep only as backup,AI-ML based Intelligent Dead Reckoning system for seamless navigation,Indian Space Research Organisation(ISRO),Smart Vehicles,6.5,7.5,5.5,7.5,7.0,5.5,8.0,7.5,5.5,302,Submit by 18 Sep (MEDIUM freeze risk)
15,SIH26011,5.92,7.07,6.75,HIGH RISK — Skip or keep only as backup,3D ULPIN Generation and vertical Property Mapping SYstem,Ministry of Rural Development,Smart Automation,9.0,7.0,7.5,4.5,4.5,7.0,6.0,4.5,8.0,337,Submit by 18 Sep (MEDIUM freeze risk)
16,SIH26017,5.91,7.13,5.85,HIGH RISK — Skip or keep only as backup,Predictive Analytics System for Early Detection of Land Acquisition Delays,Ministry of Rural Development,Smart Automation,6.5,7.0,8.0,7.5,7.0,5.0,5.0,7.5,8.0,292,Submit by 18 Sep (MEDIUM freeze risk)
17,SIH26111,5.9,7.1,5.65,HIGH RISK — Skip or keep only as backup,Smart Al-Enabled Rapid Feed and Silage Quality Testing System for Dairy Farmers,"Ministry of Fisheries, Animal Husbandry & Dairying","Agriculture, FoodTech & Rural Development",8.0,7.0,7.0,6.0,6.5,5.0,5.0,6.0,8.5,282,Submit by 18 Sep (MEDIUM freeze risk)
18,SIH26003,5.85,6.88,5.8,HIGH RISK — Skip or keep only as backup,AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER),Ministry of Development of North Eastern Region (MDoNER),MedTech / BioTech / HealthTech,6.5,7.0,7.0,7.5,6.5,5.0,5.0,7.5,8.5,290,Submit by 18 Sep (MEDIUM freeze risk)
19,SIH26167,5.85,6.72,5.85,HIGH RISK — Skip or keep only as backup,SatQuery AI - An Interactive Vision-Language Assistant for Multimodal Remote Sensing Image Analysis through Text Queries,Indian Space Research Organisation(ISRO),Space Technology,8.0,7.0,6.5,4.5,6.0,5.5,7.0,4.5,7.5,292,Submit by 18 Sep (MEDIUM freeze risk)
20,SIH26227,5.85,6.48,5.65,HIGH RISK — Skip or keep only as backup,Semantic Retrieval and Multi-Temporal Change Analysis of Satellite lmagery.,Ministry of defence (MoD),Space Technology,6.5,7.5,5.5,6.0,6.5,5.0,7.0,6.0,8.5,282,Submit by 18 Sep (MEDIUM freeze risk)
